uid treatment n p time
timings_reducCol_5000_256_5 timings_reducCol 5000 256 0.512292146683
timings_reducCol_5000_256_6 timings_reducCol 5000 256 1.07992506027
timings_reducCol_5000_256_7 timings_reducCol 5000 256 3.13512992859
timings_reducCol_5000_256_8 timings_reducCol 5000 256 2.43670511246
timings_reducCol_5000_256_9 timings_reducCol 5000 256 1.85978198051
timings_reducCol_5000_256_10 timings_reducCol 5000 256 0.713925123215
timings_reduc3_100_1_1 timings_reduc3 100 1 7.70092010498e-05
timings_reduc3_100_1_2 timings_reduc3 100 1 8.20159912109e-05
timings_reduc3_100_1_3 timings_reduc3 100 1 0.000211000442505
timings_reduc3_100_1_4 timings_reduc3 100 1 0.000104904174805
timings_reduc3_100_1_5 timings_reduc3 100 1 7.60555267334e-05
timings_reduc3_100_1_6 timings_reduc3 100 1 7.58171081543e-05
timings_reduc3_100_1_7 timings_reduc3 100 1 7.20024108887e-05
timings_reduc3_100_1_8 timings_reduc3 100 1 8.01086425781e-05
timings_reduc3_100_1_9 timings_reduc3 100 1 7.79628753662e-05
timings_reduc3_100_1_10 timings_reduc3 100 1 8.20159912109e-05
timings_reduc3_10_1_1 timings_reduc3 10 1 4.10079956055e-05
timings_reduc3_10_1_2 timings_reduc3 10 1 3.50475311279e-05
timings_reduc3_10_1_3 timings_reduc3 10 1 5.3882598877e-05
timings_reduc3_10_1_4 timings_reduc3 10 1 5.00679016113e-05
timings_reduc3_10_1_5 timings_reduc3 10 1 4.31537628174e-05
timings_reduc3_10_1_6 timings_reduc3 10 1 4.00543212891e-05
timings_reduc3_10_1_7 timings_reduc3 10 1 3.2901763916e-05
timings_reduc3_10_1_8 timings_reduc3 10 1 3.69548797607e-05
timings_reduc3_10_1_9 timings_reduc3 10 1 3.38554382324e-05
timings_reduc3_10_1_10 timings_reduc3 10 1 3.19480895996e-05
timings_reduc3_5000_1_1 timings_reduc3 5000 1 0.0031898021698
timings_reduc3_5000_1_2 timings_reduc3 5000 1 0.00249695777893
timings_reduc3_5000_1_3 timings_reduc3 5000 1 0.00247597694397
timings_reduc3_5000_1_4 timings_reduc3 5000 1 0.00242614746094
timings_reduc3_5000_1_5 timings_reduc3 5000 1 0.00244212150574
timings_reduc3_5000_1_6 timings_reduc3 5000 1 0.00244402885437
timings_reduc3_5000_1_7 timings_reduc3 5000 1 0.00244402885437
timings_reduc3_5000_1_8 timings_reduc3 5000 1 0.00250196456909
timings_reduc3_5000_1_9 timings_reduc3 5000 1 0.00305318832397
timings_reduc3_5000_1_10 timings_reduc3 5000 1 0.00307106971741
timings_reduc3_100_4_1 timings_reduc3 100 4 0.0449299812317
timings_reduc3_100_4_2 timings_reduc3 100 4 0.00112819671631
timings_reduc3_100_4_3 timings_reduc3 100 4 0.0759191513062
timings_reduc3_100_4_4 timings_reduc3 100 4 0.0420489311218
timings_reduc3_100_4_5 timings_reduc3 100 4 0.147491931915
timings_reduc3_100_4_6 timings_reduc3 100 4 0.0344588756561
timings_reduc3_100_4_7 timings_reduc3 100 4 0.150518894196
timings_reduc3_100_4_8 timings_reduc3 100 4 0.132051944733
timings_reduc3_100_4_9 timings_reduc3 100 4 0.0335030555725
timings_reduc3_100_4_10 timings_reduc3 100 4 0.0408051013947
timings_reduc3_10_4_1 timings_reduc3 10 4 0.640315055847
timings_reduc3_10_4_2 timings_reduc3 10 4 0.0551149845123
timings_reduc3_10_4_3 timings_reduc3 10 4 0.494020938873
timings_reduc3_10_4_4 timings_reduc3 10 4 0.0288259983063
timings_reduc3_10_4_5 timings_reduc3 10 4 0.0208280086517
timings_reduc3_10_4_6 timings_reduc3 10 4 0.0495419502258
timings_reduc3_10_4_7 timings_reduc3 10 4 0.0278279781342
timings_reduc3_10_4_8 timings_reduc3 10 4 0.0408401489258
